"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Grid_Velocity_x","Grid_Velocity_y"
183, 2.172612144045835e-03, 2.725817055197743e-02, 5.278969491235957e-04, 9.520725341161949e-08, -9.416452700368778e-07, 1.096342748354579e+02, 0.000000000000000e+00, 0.000000000000000e+00
184, 2.172612144045835e-03, 2.247606386010892e-02, 5.279123126463747e-04, 7.014291827005573e-08, -4.854460138976610e-07, 1.096342942375276e+02, 0.000000000000000e+00, 0.000000000000000e+00
185, 2.172612144045835e-03, 1.836974242009259e-02, 5.279243562122092e-04, 3.634481792142279e-08, -1.999661286844239e-07, 1.096343128340169e+02, 0.000000000000000e+00, 0.000000000000000e+00
186, 2.172612144045834e-03, 1.484834197669416e-02, 5.279337797606080e-04, 1.461410404604988e-08, -4.051995464213333e-08, 1.096343259763863e+02, 0.000000000000000e+00, 0.000000000000000e+00
187, 2.172612144045834e-03, 1.183194847427149e-02, 5.279410995694074e-04, -1.089783832725573e-08, 3.216587304619334e-08, 1.096343370064665e+02, 0.000000000000000e+00, 0.000000000000000e+00
188, 2.172612144045834e-03, 9.250634037664685e-03, 5.279467116227973e-04, -2.744927836517541e-08, 4.914948289315759e-08, 1.096343433300817e+02, 0.000000000000000e+00, 0.000000000000000e+00
189, 2.172612144045834e-03, 7.043469738448828e-03, 5.279509948762442e-04, -4.201974338331580e-08, 3.705495207315114e-08, 1.096343471295090e+02, 0.000000000000000e+00, 0.000000000000000e+00
190, 2.172612144045834e-03, 5.157558299927479e-03, 5.279542218037870e-04, -5.005597505675742e-08, 1.299791607928050e-08, 1.096343479488102e+02, 0.000000000000000e+00, 0.000000000000000e+00
191, 2.172612144045834e-03, 3.547114797125106e-03, 5.279566168832807e-04, -5.223775442439275e-08, -9.665454764033209e-09, 1.096343474305036e+02, 0.000000000000000e+00, 0.000000000000000e+00
192, 2.172612144045834e-03, 2.172612144045849e-03, 5.279583113329298e-04, -4.979123361792601e-08, -2.509250617742669e-08, 1.096343466956918e+02, 0.000000000000000e+00, 0.000000000000000e+00
193, 2.172612144045834e-03, 1.000000000000001e-03, 5.279594336844667e-04, -5.469460029990673e-08, -1.891085633073808e-08, 1.096343432739848e+02, 0.000000000000000e+00, 0.000000000000000e+00
194, 2.172612144045834e-03, 0.000000000000000e+00, 5.279601548754611e-04, 0.000000000000000e+00, 0.000000000000000e+00, 1.096343505098498e+02, 0.000000000000000e+00, 0.000000000000000e+00
195, 3.547114797125106e-03, 1.000000000000000e+00, 5.238609987983857e-04, 1.738118645198077e-02, 0.000000000000000e+00, 1.104142567685077e+02, 3.317900000000000e+01, 0.000000000000000e+00
196, 3.547114797125106e-03, 9.989999999999998e-01, 5.184930789005538e-04, 7.701042965669673e-03, 5.734814194571661e-04, 1.090043794054012e+02, 0.000000000000000e+00, 0.000000000000000e+00
197, 3.547114797125106e-03, 9.978273878559542e-01, 5.199950355166010e-04, 2.546767367951683e-03, 2.624630656655053e-03, 1.091414343882458e+02, 0.000000000000000e+00, 0.000000000000000e+00
198, 3.547114797125106e-03, 9.964528852028747e-01, 5.210292107223070e-04, 1.912447647604051e-04, 3.900886402626846e-03, 1.092122256992562e+02, 0.000000000000000e+00, 0.000000000000000e+00
199, 3.547114797125106e-03, 9.948424417000725e-01, 5.220601591546601e-04, -6.538688616358721e-04, 4.431202388147115e-03, 1.092963650920241e+02, 0.000000000000000e+00, 0.000000000000000e+00
200, 3.547114797125106e-03, 9.929565302615512e-01, 5.229415827333683e-04, -8.230537558676520e-04, 4.361662925751970e-03, 1.093610697828386e+02, 0.000000000000000e+00, 0.000000000000000e+00
201, 3.547114797125106e-03, 9.907493659623354e-01, 5.237207270350288e-04, -7.162594992021636e-04, 3.940831292180627e-03, 1.094181326911142e+02, 0.000000000000000e+00, 0.000000000000000e+00
202, 3.547114797125106e-03, 9.881680515257286e-01, 5.243790405843620e-04, -5.406897520419049e-04, 3.366477496354208e-03, 1.094650605683662e+02, 0.000000000000000e+00, 0.000000000000000e+00
203, 3.547114797125107e-03, 9.851516580233060e-01, 5.249168602381285e-04, -3.816610987695300e-04, 2.774656070451278e-03, 1.095020579119801e+02, 0.000000000000000e+00, 0.000000000000000e+00
204, 3.547114797125106e-03, 9.816302575799077e-01, 5.253434285402332e-04, -2.615540050810214e-04, 2.237850075827375e-03, 1.095301656944488e+02, 0.000000000000000e+00, 0.000000000000000e+00
205, 3.547114797125107e-03, 9.775239361398917e-01, 5.256742520938216e-04, -1.779224170131930e-04, 1.782059810565507e-03, 1.095510711563582e+02, 0.000000000000000e+00, 0.000000000000000e+00
206, 3.547114797125107e-03, 9.727418294480230e-01, 5.259268887183409e-04, -1.217189325386525e-04, 1.406854272733768e-03, 1.095665509821760e+02, 0.000000000000000e+00, 0.000000000000000e+00
